iter	Passed	Remaining
0	1	157
1	3	152
2	4	148
3	5	143
4	7	142
5	9	141
6	10	140
7	12	138
8	13	137
9	15	136
10	16	135
11	18	134
12	19	133
13	21	131
14	23	130
15	24	129
16	26	127
17	27	126
18	28	123
19	30	120
20	31	118
21	32	115
22	33	113
23	35	111
24	36	109
25	37	106
26	38	104
27	39	102
28	41	100
29	42	99
30	43	97
31	45	96
32	46	95
33	48	93
34	49	91
35	50	90
36	51	88
37	53	86
38	54	85
39	55	83
40	57	82
41	57	79
42	58	78
43	60	76
44	61	75
45	62	73
46	63	72
47	65	70
48	66	69
49	67	67
50	68	66
51	69	64
52	71	63
53	72	61
54	73	59
55	74	58
56	75	57
57	77	55
58	78	54
59	79	53
60	80	51
61	82	50
62	83	48
63	84	47
64	85	46
65	87	44
66	88	43
67	90	42
68	91	41
69	92	39
70	93	38
71	94	36
72	95	35
73	96	33
74	97	32
75	98	31
76	99	29
77	101	28
78	102	27
79	103	25
80	104	24
81	105	23
82	106	21
83	107	20
84	108	19
85	109	17
86	110	16
87	111	15
88	113	13
89	114	12
90	115	11
91	116	10
92	117	8
93	118	7
94	119	6
95	120	5
96	121	3
97	123	2
98	124	1
99	125	0
